KO,growth
GFD1,0.985387384242
GGA1,0.97083714533
GGA2,1.00476958789
GIN4,0.82039283891
GIS1,1.01885560984
GIS2,1.01063593717
GIS3,1.01953654934
GIS4,0.962528491022
GLT1,0.754664352796
GPH1,0.772380994533
GPT2,0.948330325264
GRH1,1.00215187367
GRX3,1.0114817606
GRX4,0.992301364517
GSM1,0.936021550326
GSP2,0.990860030551
GTR1,0.784647485071
GTS1,0.991074115654
GZF3,0.934852488171
HAA1,0.973258204031
HAL5,1.0274152338425
HAL9,0.963447448875
HAM1,0.950930800261
HAP2,0.760508857422
HAP3,0.77745222575
HAP4,0.984670716967
HAP5,0.804604392316
HAT1,1.01443515043
HAT2,0.981518641303
HCM1,0.857198112547
HCR1,0.496340707317
HCS1,1.04133569546
HDA1,0.840237743663
HDA3,0.823221399298
HFM1,1.0076288065
HHF2,0.914331846313
HHO1,0.823391060198
HHT2,0.993001125332
HIR1,0.827174357923
HIR2,0.891889361047
HIR3,0.882146445564
HMG1,0.989963069658
HMO1,0.498401388891
HMS1,1.0050327787
HMT1,0.752350128415
HNT3,0.843332365312
HOG1,0.89884025655
HOP1,0.997167324119
HOP2,0.958307884558
HOS1,0.991352116224
HOS2,0.899525852391
HOS3,0.959685974051
HOS4,0.948647746977
HOT1,0.861036723889
HPC2,0.78038427654
HRB1,0.932096158304
HRD1,0.961500519055
HRQ1,0.981262193787
HRT3,0.997667055128
HSC82,1.01967061957
HSL1,0.954738979945
HSM3,0.943690654367
HSP12,0.830727569731
HST2,1.0170165685
HST3,0.971892293581
HST4,0.974862900693
HTA2,0.935074727955
HTL1,0.386805788902
HTZ1,0.947380537237
HUB1,1.0157753996
HUG1,1.01339196034
HUL4,0.919916063522
HUL5,0.959728641489
HUR1,0.406275434456
HXK2,1.09206303752
IDP3,0.954178485661
IES1,0.669563216217
IES2,0.605163843771
IES3,1.00909931323
IES4,0.877562493443
IES5,0.705264827582
IES6,0.530895202532
IKI3,0.688439713586
IKS1,1.01624251088
IME1,0.962838062282
IME2,0.970777397786
IME4,0.911731515026
IMH1,0.978225221363
IML3,0.817065126021
INP52,0.938479623155
IOC2,1.01960150674
IOC3,1.00378520746
IOC4,0.931627614393
IPK1,0.480720708758
IRC3,0.965484577167
