KO,growth
HSC82,-0.0407856
HSL1,-0.0099
HSM3,0.1006424
HSP12,0.0138944
HST2,-0.0115704
HST3,-0.0345945
HST4,0.1115745
HTA2,0.0578045
HTL1,0.1955562
HTZ1,0.2223924
HUB1,-0.0717907
HUG1,0.0697124
HUL4,0.0183785
HUL5,0.0045014
HUR1,0.3193624
HXK2,0.0690416
IDP3,0.0047535
IES1,0.175651
IES2,0.334143
IES3,0.5328293
IES4,0.0596768
IES5,0.1646786
IES6,0.9785753
IKI3,0.1424869
IKS1,0.0185
IME1,0.0834473
IME2,-0.0185
IME4,0.0238793
IMH1,-0.0465954
IML3,0.0426672
INP52,-0.0923649
IOC2,0.054
IOC3,0.041
IOC4,0.068
IPK1,0.3593257
IRC3,0.6049821
IRC5,0.021384
IRE1,0.0217
IST3,0.3379171
ISW1,0.102
ISY1,0.1148753
ITC1,0.0871711
ITT1,0.0
IXR1,0.0519704
JHD2,-0.0251659
JJJ1,0.2118414
JNM1,0.3519461
JSN1,-0.0047611
KAP114,0.0432121
KAP120,0.7271465
KAP122,0.1404198
KAP123,0.1742509
KAR3,0.3128421
KAR4,0.1408233
KAR5,0.0592659
KCC4,0.0107
KIN1,0.0116
KIN2,0.0378
KIN3,0.1271
KIN4,0.058
KIN82,0.0347
KIP1,-0.0608407
KIP3,0.0645069
KKQ8,-0.0023
KNS1,-0.0472
KSP1,0.0397
KSS1,-0.0445
KTI12,0.2349291
LAP3,0.0142724
LCB4,-0.0155
LCB5,0.0931
LDB7,-0.0197477
LEA1,0.5178021
LEE1,0.0994872
LEM3,-0.0661644
LEU3,-0.0798925
LGE1,0.1610249
LHP1,-0.0276175
LIN1,0.0162075
LOC1,-0.1658192
LOS1,0.0739192
LRP1,0.5618789
LSM1,0.2705919
LSM12,0.0858851
LSM6,0.6332926
LSM7,0.2031014
LTP1,-0.0007
LTV1,0.7048824
MAC1,-0.0533779
MAD3,0.0591853
MAF1,0.0233829
MAG1,-0.0220749
MAG2,0.005
MAK31,0.0066646
MAL13,0.0877121
MAL33,0.0778361
MAM1,0.0669287
MBF1,0.0659261
MBP1,-0.0427939
MCA1,-0.2422386
MCK1,0.3942
MCM16,0.0548517
MCM21,0.068619
MDM30,0.1459404
MDS3,-0.1169114
MDY2,-0.0139392
MEK1,-0.0123
MEP2,0.0
MET32,0.0236759
MFB1,0.1075799
MFT1,0.1046851
MGA1,-0.0092778
MGA2,0.6199329
MGT1,0.0437924
MIG1,0.2352165
MIG2,-0.0274807
MIG3,0.0334969
MIP6,0.0120762
MKK1,-0.0708
MKK2,-0.0256
MLH1,-0.0590445
MLH2,0.0714133
MLH3,0.06922
MLP1,0.0819416
MLP2,0.0278342
MMS1,0.0131405
MMS2,0.0244946
MMS22,0.3928754
MMS4,0.0681761
MMT1,0.1073688
MND2,-0.0249176
MOT3,0.0819187
MPH1,-0.0393471
MPP6,0.0686038
MPT5,-0.0120104
MRC1,0.1624341
MRE11,0.3111985
MRH1,-0.0046765
MRK1,0.048
MRN1,0.0412639
MRT4,0.4732275
MSC1,0.147795
MSC3,0.0277934
MSC6,-0.045155
MSG5,0.0019
MSH2,0.0522232
MSH3,-0.100607
MSI1,-0.1030935
MSL1,0.0395306
MSN1,0.0426563
MSN2,-0.0514468
MSN5,0.1366887
MSS11,-0.0278342
MUB1,-0.0375968
MUD2,0.1979902
MUM2,0.0869309
MUS81,0.1676674
NAM7,0.0728635
NAS6,0.0050532
NAT4,-0.0467376
NCA2,0.0587647
NCE102,0.052629
NCL1,0.1061165
NDE1,0.0014032
NDJ1,0.0084776
NDT80,-0.008641
NEJ1,-0.1967191
NEM1,0.0102
NEW1,0.1817562
NGL1,-0.0662238
NGL2,0.0466316
NGL3,0.0475302
NHP10,0.2221836
NKP1,0.1031569
NKP2,0.4266924
NMD2,0.1337708
NMD4,-0.0212949
NNF2,-0.0037449
NOP12,0.2345019
NOP13,-0.0005572
NOT3,0.5178325
NPR1,-0.0224
NPR2,0.1277417
NPT1,0.0438572
NRG1,0.0346461
NTC20,0.1392636
NTG1,0.1321205
NTG2,0.0304837
NTO1,0.156703
NUP100,0.0236901
NUP133,0.6470879
NUP157,0.1088223
NUP170,0.6044644
NUP188,0.1066545
NUP2,0.0850206
NUP53,0.0876015
NUP60,0.2456229
NVJ1,0.0045583
OAF3,0.0501988
OCA1,0.091
OCA2,0.1283
OCA4,0.1217885
OCA5,0.1535305
OPI1,0.3847851
OPI3,1.969787
OPY2,-0.0580457
OSH2,0.035867
OTU1,0.0863603
PAC11,0.0323566
PAF1,0.8042719
PAN3,0.006
PAP2,0.0453217
PAT1,0.249
PAU11,0.0442946
PBA1,0.049753
PBP1,0.052
PBS2,0.0049
PCH2,0.0809238999999999
PCI8,0.0211388
PCL1,-0.0575824
PCL10,0.0050939
PCL2,0.0681704
PCL5,0.1405265
PCL6,0.0139842
PCL8,-0.113082
PCL9,-0.0443753
PDR1,-0.0305923
PDR3,-0.0544622
PDR8,-0.0063819
PEP4,-0.0578935
PEP5,0.277781
PES4,0.0331426
PEX10,0.0387324
PEX12,-0.03
PEX2,-0.01543
PEX22,0.0187366
PEX4,-0.0542616
PEX5,0.1967378
PHD1,0.0438576
PHO13,0.0547844
PHO23,0.2530861
PHO81,0.1299557
PHO84,0.0
PHO85,0.5035
PHR1,-0.1227423
PIB1,0.0145483
PIB2,0.054121
PIF1,0.2741241
PIG1,0.0324215
PIH1,0.3161473
PIL1,0.0247708
PIN4,0.110619
PIP2,-0.0637903
PKH1,0.0324
PKH3,0.04
PLC1,0.614895
PLM2,-0.0071086
